City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Koslan,RU,63.4564,48.8989,73.89,41,100,10.36,overcast clouds
1,Avarua,CK,-21.2078,-159.775,69.85,94,21,1.14,few clouds
2,Jiazi,CN,22.8779,116.067,80.83,85,100,7.56,light rain
3,Cabo San Lucas,MX,22.8909,-109.9124,78.62,70,29,11.63,scattered clouds
4,Kapaa,US,22.0752,-159.319,74.12,97,100,11.5,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,60.19,55,59,7.0,broken clouds
6,Maldonado,UY,-34.6667,-54.9167,51.22,91,100,4.79,light rain
7,Ornskoldsvik,SE,63.2909,18.7153,62.35,45,50,7.09,scattered clouds
8,Kahului,US,20.8947,-156.47,76.84,90,39,5.01,scattered clouds
9,Fagernes,NO,60.9858,9.2324,61.92,64,99,3.56,overcast clouds
10,Yenangyaung,MM,20.4667,94.8833,88.25,50,100,16.82,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,44.47,91,100,4.97,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,64.29,52,12,15.37,few clouds
13,Thompson,CA,55.7435,-97.8558,57.36,72,75,12.66,broken clouds
14,Saskylakh,RU,71.9167,114.0833,60.19,27,24,5.26,few clouds
15,Obidos,BR,-1.9175,-55.5181,69.69,95,73,3.38,broken clouds
16,Spasskoye,RU,44.6108,132.7969,69.73,70,90,5.48,overcast clouds
17,San Vicente,AR,-26.6167,-54.1333,52.25,95,4,2.53,clear sky
18,Hilo,US,19.7297,-155.09,72.28,87,97,5.01,overcast clouds
19,Pangnirtung,CA,66.1451,-65.7125,34.72,97,100,7.27,overcast clouds
20,Constitucion,CL,-35.3333,-72.4167,48.45,89,5,5.41,clear sky
21,Ende,ID,-8.8432,121.6623,80.31,83,50,5.21,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,72.61,67,73,6.93,broken clouds
23,Tura,IN,25.5198,90.2201,80.38,86,99,9.66,moderate rain
24,Berbera,SO,10.4396,45.0143,96.39,44,53,14.38,broken clouds
25,High Level,CA,58.5169,-117.136,53.71,100,20,3.44,few clouds
26,Tabuk,PH,17.4189,121.4443,86.52,72,94,2.1,overcast clouds
27,Saint-Pierre,RE,-21.3393,55.4781,80.28,61,0,14.97,clear sky
28,Vao,NC,-22.6667,167.4833,74.61,83,97,22.55,overcast clouds
29,Bronnoysund,NO,65.4625,12.1997,51.8,100,100,8.05,drizzle
30,New Norfolk,AU,-42.7826,147.0587,47.91,91,8,1.88,clear sky
31,Dikson,RU,73.5069,80.5464,33.94,93,23,4.79,few clouds
32,Atuona,PF,-9.8,-139.0333,77.86,67,7,19.93,clear sky
33,Jamestown,US,42.097,-79.2353,76.05,91,33,1.99,scattered clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,38.14,71,0,13.62,clear sky
35,Kholmogory,RU,64.2229,41.656,60.42,76,89,9.35,overcast clouds
36,Vaini,TO,-21.2,-175.2,73.56,88,20,5.75,few clouds
37,Avallon,FR,47.4833,3.9,78.35,43,10,5.95,clear sky
38,Kaitangata,NZ,-46.2817,169.8464,43.16,76,100,11.79,overcast clouds
39,Bluff,NZ,-46.6,168.3333,44.8,65,64,15.3,broken clouds
40,Yellowknife,CA,62.456,-114.3525,54.12,76,100,10.36,light intensity shower rain
41,Kabalo,CD,-6.05,26.9167,91.33,24,10,9.19,clear sky
42,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,10.36,scattered clouds
43,Hirara,JP,24.8,125.2833,79.07,94,75,4.61,moderate rain
44,Culebra,PR,18.303,-65.301,82.44,97,100,8.99,overcast clouds
45,Alofi,NU,-19.0595,-169.9187,75.09,88,8,6.91,clear sky
46,Sesheke,ZM,-17.4759,24.2968,72.64,23,0,7.07,clear sky
47,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,61,0,10.36,clear sky
48,Pierre,US,44.3683,-100.351,65.32,75,0,16.11,clear sky
49,Bethel,US,41.3712,-73.414,64.54,89,70,3.67,broken clouds
50,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,21.85,light rain
51,Hermanus,ZA,-34.4187,19.2345,53.8,59,85,7.96,overcast clouds
52,Pitiquito,MX,30.7,-112.0833,83.17,26,0,1.68,clear sky
53,Upernavik,GL,72.7868,-56.1549,31.96,64,100,2.68,overcast clouds
54,Ushuaia,AR,-54.8,-68.3,42.46,75,40,4.61,scattered clouds
55,Miri,MY,4.4148,114.0089,84.34,84,40,8.05,thunderstorm
56,Pocone,BR,-16.2567,-56.6228,69.04,70,0,4.74,clear sky
57,Byron Bay,AU,-28.65,153.6167,60.94,68,0,0.76,clear sky
58,Hobart,AU,-42.8794,147.3294,48.25,91,40,4.61,scattered clouds
59,Severo-Kurilsk,RU,50.6789,156.125,47.03,92,100,9.08,overcast clouds
60,Albany,US,42.6001,-73.9662,66.63,79,39,1.01,scattered clouds
61,Lebu,CL,-37.6167,-73.65,46.85,89,4,5.59,clear sky
62,Vila,PT,42.0304,-8.1588,59.88,71,100,4.32,overcast clouds
63,Terrell,US,32.736,-96.2753,83.34,76,64,9.82,broken clouds
64,Mumbwa,ZM,-14.9783,27.0619,76.14,28,3,7.23,clear sky
65,Merritt,CA,50.1123,-120.7942,49.21,98,99,3.33,overcast clouds
66,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,18.41,broken clouds
67,Benavente,ES,42.0025,-5.6783,82.89,31,96,5.53,overcast clouds
68,Xuanhua,CN,40.6103,115.0447,86.5,36,44,7.92,scattered clouds
69,Port Elizabeth,ZA,-33.918,25.5701,59.31,60,0,10.36,clear sky
70,Qaanaaq,GL,77.484,-69.3632,26.1,68,68,5.08,broken clouds
71,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,84,40,14.97,scattered clouds
72,Castro,BR,-24.7911,-50.0119,49.57,85,0,1.79,clear sky
73,Sur,OM,22.5667,59.5289,97.07,46,7,6.8,clear sky
74,Ekhabi,RU,53.5102,142.9671,45.05,91,100,7.56,overcast clouds
75,Bereda,ES,43.2686,-7.5406,77.58,47,60,3.89,broken clouds
76,Plouzane,FR,48.3833,-4.6167,66.52,60,0,16.11,clear sky
77,Auki,SB,-8.7676,160.7034,77.11,86,87,6.26,overcast clouds
78,Tambo,PE,-14.8,-73.9167,29.28,63,2,4.25,clear sky
79,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,68.79,100,42,1.14,scattered clouds
80,Sitka,US,57.0531,-135.33,54.03,76,74,3.78,broken clouds
81,East London,ZA,-33.0153,27.9116,58.14,47,20,18.41,few clouds
82,Calvinia,ZA,-31.4707,19.776,46.8,40,97,13.29,overcast clouds
83,Georgetown,MY,5.4112,100.3354,89.55,70,20,11.5,few clouds
84,Iralaya,HN,15.0,-83.2333,74.61,90,86,3.13,overcast clouds
85,Mweka,CD,-4.85,21.5667,89.04,39,6,1.45,clear sky
86,Moundou,TD,8.5667,16.0833,84.43,84,20,0.0,few clouds
87,Agboville,CI,5.928,-4.2132,73.76,97,100,1.81,light rain
88,Horta,PT,38.5333,-28.6333,67.64,83,40,10.36,scattered clouds
89,Chuy,UY,-33.6971,-53.4616,50.18,90,99,4.61,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,79.09,65,40,19.57,scattered clouds
91,Mangai,CD,-4.05,19.5333,87.26,53,13,2.55,few clouds
92,Willowmore,ZA,-33.2926,23.4895,45.88,50,45,6.04,scattered clouds
93,Busselton,AU,-33.65,115.3333,65.14,76,6,14.25,clear sky
94,Greaca,RO,44.1094,26.3394,79.21,57,98,2.17,overcast clouds
95,Buraydah,SA,26.326,43.975,100.85,8,0,6.8,clear sky
96,Varzelandia,BR,-15.7014,-44.0275,54.59,79,0,6.44,clear sky
97,Victoria,HK,22.2855,114.1577,86.38,79,33,11.01,scattered clouds
98,Tukrah,LY,32.5341,20.5791,80.4,54,0,10.25,clear sky
99,Bredasdorp,ZA,-34.5322,20.0403,53.71,58,71,5.59,broken clouds
100,Tasiilaq,GL,65.6145,-37.6368,36.68,98,100,5.21,light rain
101,Mount Isa,AU,-20.7333,139.5,71.37,28,5,10.36,clear sky
102,Biloela,AU,-24.4167,150.5,64.71,57,54,6.91,broken clouds
103,Carnarvon,AU,-24.8667,113.6333,73.24,76,99,9.17,overcast clouds
104,Chardara,KZ,41.2547,67.9692,92.82,23,5,4.79,clear sky
105,Clyde River,CA,70.4692,-68.5914,30.43,93,100,25.32,light snow
106,Northam,GB,51.0333,-4.2167,62.26,64,98,2.01,overcast clouds
107,Namatanai,PG,-3.6667,152.4333,80.24,79,100,8.25,light rain
108,Brenham,US,30.1669,-96.3977,79.14,53,100,4.61,overcast clouds
109,Renfrew,GB,55.872,-4.3925,65.25,78,100,6.91,overcast clouds
110,Hamilton,US,39.1834,-84.5333,81.37,83,70,6.11,broken clouds
111,Kannur,IN,11.8675,75.3576,83.35,72,100,11.03,overcast clouds
112,Thinadhoo,MV,0.5333,72.9333,83.8,70,100,9.01,moderate rain
113,Talnakh,RU,69.4865,88.3972,78.21,43,100,3.36,overcast clouds
114,Kamaishi,JP,39.2667,141.8833,66.79,86,100,8.12,overcast clouds
115,Celestun,MX,20.8667,-90.4,75.52,87,45,7.87,scattered clouds
116,Bay Roberts,CA,47.5999,-53.2648,44.04,90,4,5.14,clear sky
117,Macusani,PE,-14.0833,-70.4333,27.75,77,3,2.89,clear sky
118,Avera,US,33.194,-82.5271,77.05,87,37,5.39,scattered clouds
119,Lodwar,KE,3.1191,35.5973,90.27,34,94,10.87,overcast clouds
120,Cap Malheureux,MU,-19.9842,57.6142,77.47,65,60,11.01,broken clouds
121,Kon Tum,VN,14.35,108.0,87.42,57,100,3.27,overcast clouds
122,Hay River,CA,60.8156,-115.7999,48.18,81,100,5.75,overcast clouds
123,Naze,JP,28.3667,129.4833,76.12,90,100,9.01,light rain
124,Verkhnyaya Inta,RU,65.9811,60.3094,67.32,42,99,4.81,overcast clouds
125,Kodiak,US,57.79,-152.4072,45.91,81,20,4.61,few clouds
126,Zyryanovsk,KZ,49.7386,84.2719,68.86,59,7,3.31,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,73.71,68,36,6.71,scattered clouds
128,Mareeba,AU,-17.0,145.4333,69.48,96,52,3.91,broken clouds
129,Eirunepe,BR,-6.6603,-69.8736,71.46,91,80,1.57,broken clouds
130,Dukat,RU,62.55,155.55,52.09,58,99,5.93,overcast clouds
131,Airai,TL,-8.9266,125.4092,63.54,86,100,3.29,overcast clouds
132,Vardo,NO,70.3705,31.1107,42.78,87,75,14.97,broken clouds
133,Fairbanks,US,64.8378,-147.7164,62.22,68,0,1.01,clear sky
134,Hasaki,JP,35.7333,140.8333,73.29,80,100,17.18,overcast clouds
135,Dudinka,RU,69.4058,86.1778,78.62,44,100,7.4,light rain
136,Abu Dhabi,AE,24.4667,54.3667,104.11,29,0,10.36,clear sky
137,Grindavik,IS,63.8424,-22.4338,50.47,81,75,17.27,broken clouds
138,Yulara,AU,-25.2406,130.9889,66.85,33,75,6.08,broken clouds
139,Kiama,AU,-34.6833,150.8667,60.39,66,11,14.0,few clouds
140,Viedma,AR,-40.8135,-62.9967,42.76,92,3,8.39,clear sky
141,Nemuro,JP,43.3236,145.575,53.38,99,100,15.28,overcast clouds
142,Kruisfontein,ZA,-34.0033,24.7314,55.89,52,72,6.35,broken clouds
143,Bengkulu,ID,-3.8004,102.2655,82.13,75,99,4.18,overcast clouds
144,Cape Town,ZA,-33.9258,18.4232,58.12,67,0,3.0,clear sky
145,Cedar Lake,US,41.3648,-87.4411,80.26,82,84,8.16,broken clouds
146,Keetmanshoop,NA,-26.5833,18.1333,56.23,29,10,17.56,clear sky
147,Sangar,RU,63.9242,127.4739,62.8,58,27,13.33,scattered clouds
148,Katsuura,JP,35.1333,140.3,71.98,87,100,23.76,overcast clouds
149,Penzance,GB,50.1186,-5.5371,65.52,63,0,11.5,clear sky
150,Panguna,PG,-6.3164,155.4848,68.77,96,47,2.89,scattered clouds
151,Boali,CF,4.8005,18.1275,82.8,69,99,3.09,overcast clouds
152,Norman Wells,CA,65.282,-126.8329,48.24,66,20,6.91,few clouds
153,Santa Isabel,BR,-23.3156,-46.2214,47.5,88,0,2.21,clear sky
154,Polson,US,47.6936,-114.1632,49.77,67,100,1.99,overcast clouds
155,Ahipara,NZ,-35.1667,173.1667,55.47,84,32,6.8,scattered clouds
156,Rawson,AR,-43.3002,-65.1023,43.18,73,0,10.22,clear sky
157,Atasu,KZ,48.6814,71.6433,79.83,24,52,12.73,broken clouds
158,Zhigansk,RU,66.7697,123.3711,60.64,43,0,19.75,clear sky
159,Birmitrapur,IN,22.4,84.7667,96.91,39,93,16.33,overcast clouds
160,Itaquyry,PY,-24.9333,-55.2167,59.77,88,5,4.99,clear sky
161,Hanmer Springs,NZ,-42.5167,172.8167,47.32,82,98,7.23,overcast clouds
162,Yelets,RU,52.6237,38.5017,66.34,66,35,8.95,light rain
163,Arraial Do Cabo,BR,-22.9661,-42.0278,53.56,94,0,4.61,clear sky
164,Asyut,EG,27.181,31.1837,93.24,24,0,18.79,clear sky
165,Virtsu,EE,58.5716,23.5115,69.06,84,99,8.66,overcast clouds
166,Mount Gambier,AU,-37.8333,140.7667,49.24,95,79,2.75,broken clouds
167,Glens Falls,US,43.3095,-73.644,68.22,81,15,3.0,few clouds
168,Umtata,ZA,-31.5889,28.7844,52.36,40,0,12.66,clear sky
169,Manokwari,ID,-0.8667,134.0833,81.05,76,94,3.31,overcast clouds
170,Laguna,US,38.421,-121.4238,66.97,57,0,5.75,clear sky
171,Requena,ES,39.4883,-1.1004,79.52,20,89,6.6,overcast clouds
172,Cherskiy,RU,68.75,161.3,56.39,28,11,10.56,few clouds
173,Sinjai,ID,-5.1241,120.253,79.88,86,84,2.17,broken clouds
174,Vaitape,PF,-16.5167,-151.75,80.49,74,10,15.99,light rain
175,Volnovakha,UA,47.601,37.4967,71.13,37,23,9.6,few clouds
176,Mitchell,US,43.7094,-98.0298,64.11,57,1,3.0,clear sky
177,Jishu,CN,44.3167,126.8,68.58,84,70,11.56,broken clouds
178,Kyren,RU,51.6828,102.1408,74.84,55,37,3.87,scattered clouds
179,Puerto Carreno,CO,6.189,-67.4859,71.65,95,24,2.55,few clouds
180,Korla,CN,41.7597,86.1469,101.91,7,100,16.42,overcast clouds
181,Paamiut,GL,61.994,-49.6678,37.33,76,16,8.19,few clouds
182,Nouadhibou,MR,20.931,-17.0347,67.98,88,7,18.41,clear sky
183,Progreso,MX,21.2833,-89.6667,76.1,94,4,7.27,clear sky
184,Lysyanka,UA,49.2523,30.8295,70.11,44,26,6.42,scattered clouds
185,Caborca,MX,30.5838,-111.101,81.3,23,1,2.64,clear sky
186,Hobyo,SO,5.3505,48.5268,85.44,65,100,23.8,overcast clouds
187,Burlington,US,39.8835,-74.6413,68.83,76,75,1.01,broken clouds
188,Tecolutilla,MX,18.2833,-93.3167,77.13,82,72,8.16,broken clouds
189,Tessalit,ML,20.1986,1.0114,92.77,24,33,10.27,scattered clouds
190,Sribne,UA,50.6638,32.9187,67.98,54,36,7.72,scattered clouds
191,San Juan,AR,-31.5375,-68.5364,43.63,47,0,4.79,clear sky
192,Bundaberg,AU,-24.85,152.35,63.21,94,14,2.24,few clouds
193,Bubaque,GW,11.2833,-15.8333,79.9,84,60,17.2,broken clouds
194,Itoman,JP,26.1247,127.6694,77.4,94,75,6.91,light rain
195,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,12.66,scattered clouds
196,Faanui,PF,-16.4833,-151.75,80.49,73,10,16.13,light rain
197,Kudahuvadhoo,MV,2.6708,72.8944,83.48,71,88,11.52,overcast clouds
198,Namibe,AO,-15.1961,12.1522,72.55,51,3,5.19,clear sky
199,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,9.22,broken clouds
200,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,40,19.57,scattered clouds
201,Puro,PH,12.4841,123.3827,87.96,62,26,6.31,scattered clouds
202,Shestakovo,RU,56.4915,103.96,83.25,39,91,6.55,overcast clouds
203,Asau,RO,46.4333,26.4,69.28,45,11,3.27,few clouds
204,Aktash,RU,50.3,87.7333,57.81,38,74,7.05,broken clouds
205,Bridlington,GB,54.0831,-0.1919,69.3,76,67,1.83,broken clouds
206,Jizan,SA,17.3333,42.6667,95.94,44,100,16.96,overcast clouds
207,Husavik,IS,66.0449,-17.3389,51.03,62,71,5.75,broken clouds
208,Gao,ML,16.6362,1.637,91.2,33,97,13.22,light rain
209,Butaritari,KI,3.0707,172.7902,82.36,73,20,13.02,few clouds
210,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,40,16.11,scattered clouds
211,Ojinaga,MX,29.5667,-104.4167,85.41,51,0,5.75,clear sky
212,North Myrtle Beach,US,33.816,-78.68,79.05,86,11,6.69,few clouds
213,Yenagoa,NG,4.9247,6.2642,79.38,85,100,4.59,moderate rain
214,Enumclaw,US,47.2043,-121.9915,53.56,94,99,1.01,overcast clouds
215,San Andres,CO,12.5847,-81.7006,80.62,83,75,9.22,broken clouds
216,Shahabad,IN,27.65,79.95,110.88,18,32,4.9,scattered clouds
217,Musafirkhana,IN,26.3667,81.8,100.38,34,68,18.79,broken clouds
218,San Fernando,PH,15.0286,120.6898,94.73,49,80,4.92,broken clouds
219,Smithers,CA,54.7804,-127.1743,53.92,71,75,2.3,broken clouds
220,Bambanglipuro,ID,-7.95,110.2833,82.6,76,86,4.54,light rain
221,Terrace,CA,54.5163,-128.6035,58.91,58,75,3.44,broken clouds
222,Puerto Ayora,EC,-0.7393,-90.3518,70.56,96,56,8.01,broken clouds
223,Beya,RU,53.0533,90.9139,71.92,46,76,17.07,broken clouds
224,Santa Cruz,BO,-17.8,-63.1667,62.06,88,0,11.5,clear sky
225,Sanica,BA,44.6142,16.6411,82.11,39,5,3.11,clear sky
226,Mar Del Plata,AR,-38.0023,-57.5575,49.08,91,100,5.99,mist
227,Hami,CN,42.8,93.45,103.71,8,81,10.87,broken clouds
228,Liverpool,GB,53.4106,-2.9779,70.29,61,0,3.44,clear sky
229,Souillac,MU,-20.5167,57.5167,79.18,65,40,19.57,scattered clouds
230,Kasongo-Lunda,CD,-6.4667,16.8167,86.43,36,5,2.3,clear sky
231,Juba,SS,4.8517,31.5825,90.61,42,11,4.05,few clouds
232,Dongsheng,CN,39.8161,109.9776,91.76,11,39,10.94,scattered clouds
233,Berlevag,NO,70.8578,29.0864,40.95,81,75,12.66,broken clouds
234,Sampit,ID,-2.5333,112.95,79.0,93,96,2.33,overcast clouds
